iter	Passed	Remaining
0	119	119057
1	119	59719
2	120	39930
3	120	30032
4	121	24095
5	121	20135
6	122	17308
7	122	15187
8	122	13536
9	123	12216
10	123	11136
11	124	10236
12	124	9475
13	125	8822
14	125	8257
15	126	7763
16	126	7326
17	127	6937
18	127	6590
19	128	6277
20	128	5994
21	129	5736
22	129	5502
23	130	5287
24	130	5089
25	131	4910
26	131	4743
27	132	4596
28	132	4449
29	133	4312
30	133	4183
31	134	4062
32	134	3948
33	135	3845
34	135	3745
35	136	3650
36	136	3560
37	137	3475
38	137	3393
39	138	3316
40	138	3243
41	139	3173
42	139	3107
43	140	3043
44	140	2982
45	141	2924
46	141	2868
47	141	2814
48	142	2764
49	142	2715
50	143	2668
51	143	2623
52	144	2580
53	144	2539
54	145	2501
55	146	2464
56	146	2427
57	147	2391
58	147	2356
59	148	2323
60	148	2290
61	149	2258
62	149	2227
63	150	2198
64	150	2169
65	151	2140
66	151	2113
67	152	2091
68	153	2066
69	153	2041
70	154	2016
71	154	1992
72	155	1969
73	155	1946
74	155	1923
75	156	1902
76	156	1881
77	157	1860
78	157	1840
79	158	1820
80	158	1801
81	159	1782
82	159	1761
83	159	1744
84	160	1727
85	160	1710
86	161	1693
87	161	1677
88	162	1662
89	162	1646
90	163	1632
91	163	1617
92	164	1602
93	164	1588
94	165	1574
95	165	1561
96	166	1548
97	166	1535
98	167	1522
99	167	1510
100	168	1498
101	168	1486
102	169	1474
103	169	1462
104	170	1450
105	170	1439
106	171	1428
107	171	1417
108	172	1406
109	172	1395
110	172	1385
111	173	1375
112	173	1365
113	174	1355
114	174	1346
115	175	1336
116	175	1326
117	176	1317
118	176	1308
119	177	1299
120	177	1291
121	178	1282
122	178	1273
123	179	1265
124	179	1257
125	180	1248
126	180	1240
127	180	1232
128	181	1224
129	181	1216
130	182	1210
131	182	1202
132	183	1195
133	183	1188
134	184	1181
135	184	1174
136	185	1167
137	185	1160
138	186	1153
139	186	1146
140	187	1140
141	187	1132
142	187	1126
143	188	1119
144	188	1113
145	189	1107
146	189	1101
147	190	1095
148	190	1089
149	191	1084
150	191	1078
151	192	1072
152	192	1066
153	193	1061
154	193	1055
155	194	1050
156	194	1044
157	195	1039
158	195	1033
159	195	1028
160	196	1022
161	196	1018
162	197	1013
163	197	1008
164	198	1003
165	198	998
166	199	993
167	199	988
168	200	984
169	200	979
170	201	974
171	201	970
172	202	965
173	202	961
174	202	956
175	203	952
176	203	947
177	204	943
178	204	940
179	205	936
180	205	932
181	206	927
182	206	923
183	207	919
184	207	915
185	208	911
186	208	908
187	209	904
188	209	900
189	210	896
190	210	892
191	211	889
192	211	885
193	212	881
194	212	878
195	213	874
196	213	871
197	214	868
198	214	864
199	215	861
200	215	857
201	216	854
202	216	850
203	217	847
204	217	844
205	218	840
206	218	837
207	219	834
208	219	830
209	220	828
210	220	824
211	221	821
212	221	818
213	222	815
214	222	812
215	223	809
216	223	806
217	223	803
218	224	800
219	224	797
220	225	794
221	225	791
222	226	788
223	226	785
224	227	782
225	227	780
226	228	777
227	228	774
228	229	771
229	229	769
230	230	766
231	230	763
232	231	760
233	231	758
234	232	755
235	232	752
236	232	750
237	233	747
238	233	744
239	234	742
240	234	739
241	235	737
242	235	734
243	236	732
244	236	729
245	237	727
246	237	724
247	238	722
248	238	719
249	239	717
250	239	715
251	240	712
252	240	710
253	241	708
254	241	705
255	242	703
256	242	701
257	242	698
258	243	696
259	243	694
260	244	691
261	244	689
262	245	687
263	245	685
264	246	682
265	246	680
266	247	678
267	247	676
268	248	674
269	248	671
270	248	669
271	249	667
272	249	665
273	250	663
274	250	661
275	251	659
276	251	657
277	252	655
278	252	653
279	253	651
280	253	649
281	254	647
282	254	645
283	255	643
284	255	641
285	256	639
286	256	637
287	257	635
288	257	633
289	258	631
290	258	629
291	258	627
292	259	625
293	259	624
294	260	622
295	260	620
296	261	618
297	261	616
298	262	614
299	262	612
300	263	611
301	263	609
302	264	607
303	264	605
304	265	604
305	265	602
306	266	600
307	266	598
308	267	597
309	267	595
310	267	593
311	268	591
312	268	590
313	269	588
314	269	586
315	270	585
316	270	583
317	271	581
318	271	580
319	272	578
320	272	576
321	273	575
322	273	573
323	274	571
324	274	570
325	275	568
326	275	567
327	275	565
328	276	563
329	276	562
330	277	560
331	277	559
332	278	557
333	278	555
334	279	554
335	279	552
336	280	551
337	280	549
338	281	548
339	281	546
340	282	545
341	282	543
342	283	542
343	283	541
344	284	539
345	284	538
346	285	536
347	285	534
348	285	533
349	286	531
350	286	530
351	287	528
352	287	527
353	288	526
354	288	524
355	289	523
356	289	521
357	290	520
358	290	518
359	291	517
360	291	516
361	292	514
362	292	513
363	292	511
364	293	510
365	293	509
366	294	507
367	294	506
368	295	505
369	296	504
370	296	502
371	297	501
372	297	500
373	297	498
374	298	497
375	298	496
376	299	494
377	299	493
378	300	491
379	300	490
380	301	489
381	301	487
382	302	486
383	302	485
384	303	484
385	303	482
386	303	481
387	304	480
388	304	478
389	305	477
390	305	476
391	306	474
392	306	473
393	307	472
394	307	471
395	308	469
396	308	468
397	308	467
398	309	466
399	309	464
400	310	463
401	310	462
402	311	461
403	311	460
404	312	458
405	312	457
406	313	456
407	313	455
408	314	453
409	314	452
410	315	451
411	315	450
412	316	449
413	316	447
414	316	446
415	317	445
416	317	444
417	318	443
418	318	442
419	319	440
420	319	439
421	320	438
422	320	437
423	321	436
424	321	435
425	322	433
426	322	432
427	322	431
428	323	430
429	323	429
430	324	428
431	324	427
432	325	426
433	325	424
434	326	423
435	326	422
436	327	421
437	327	420
438	328	419
439	328	418
440	329	417
441	329	415
442	329	414
443	330	413
444	330	412
445	331	411
446	331	410
447	332	409
448	332	408
449	333	407
450	333	406
451	334	405
452	334	404
453	335	402
454	335	401
455	335	400
456	336	399
457	336	398
458	337	397
459	337	396
460	338	395
461	338	394
462	339	393
463	339	392
464	340	391
465	340	390
466	341	389
467	341	388
468	342	387
469	342	386
470	343	385
471	343	384
472	344	383
473	344	382
474	344	381
475	345	380
476	345	379
477	346	378
478	346	377
479	347	376
480	347	375
481	348	374
482	348	373
483	349	372
484	349	371
485	350	370
486	350	369
487	351	368
488	351	367
489	352	366
490	352	365
491	353	364
492	353	363
493	354	362
494	354	361
495	355	360
496	355	359
497	356	358
498	356	358
499	357	357
500	357	356
501	358	355
502	358	354
503	358	353
504	359	352
505	359	351
506	360	350
507	360	349
508	361	348
509	361	347
510	362	346
511	362	345
512	363	344
513	363	343
514	364	342
515	364	342
516	365	341
517	365	340
518	366	339
519	366	338
520	367	337
521	367	336
522	368	335
523	368	334
524	368	333
525	369	332
526	370	332
527	370	331
528	371	330
529	371	329
530	372	328
531	372	327
532	373	326
533	373	325
534	374	325
535	374	324
536	375	323
537	375	322
538	376	321
539	376	320
540	377	319
541	377	319
542	378	318
543	378	317
544	379	316
545	379	315
546	379	314
547	380	313
548	380	312
549	381	312
550	381	311
551	382	310
552	382	309
553	383	308
554	383	307
555	384	306
556	384	306
557	385	305
558	385	304
559	386	303
560	386	302
561	387	301
562	387	300
563	388	300
564	388	299
565	389	298
566	389	297
567	390	296
568	390	295
569	391	295
570	391	294
571	392	293
572	392	292
573	392	291
574	393	290
575	393	289
576	394	289
577	394	288
578	395	287
579	395	286
580	396	285
581	396	284
582	397	284
583	397	283
584	398	282
585	398	281
586	399	280
587	399	280
588	400	279
589	400	278
590	401	277
591	401	276
592	402	276
593	402	275
594	403	274
595	403	273
596	404	272
597	404	272
598	405	271
599	405	270
600	406	269
601	406	268
602	407	268
603	407	267
604	408	266
605	408	265
606	409	264
607	409	263
608	409	263
609	410	262
610	410	261
611	411	260
612	411	259
613	412	259
614	412	258
615	413	257
616	413	256
617	414	256
618	414	255
619	415	254
620	415	253
621	416	253
622	416	252
623	417	251
624	417	250
625	418	249
626	418	249
627	419	248
628	419	247
629	420	246
630	420	246
631	421	245
632	421	244
633	422	243
634	422	242
635	423	242
636	423	241
637	424	240
638	424	239
639	425	239
640	425	238
641	426	237
642	426	236
643	426	236
644	427	235
645	427	234
646	428	233
647	428	233
648	429	232
649	429	231
650	430	230
651	430	230
652	431	229
653	431	228
654	432	227
655	432	227
656	433	226
657	433	225
658	434	224
659	434	224
660	435	223
661	435	222
662	436	221
663	436	221
664	437	220
665	437	219
666	438	218
667	438	218
668	439	217
669	439	216
670	440	215
671	440	215
672	441	214
673	441	213
674	442	212
675	442	212
676	443	211
677	443	210
678	444	209
679	444	209
680	445	208
681	445	207
682	446	207
683	446	206
684	447	205
685	447	204
686	448	204
687	448	203
688	449	202
689	449	201
690	450	201
691	450	200
692	451	199
693	451	199
694	452	198
695	452	197
696	453	196
697	453	196
698	453	195
699	454	194
700	454	194
701	455	193
702	455	192
703	456	191
704	456	191
705	457	190
706	457	189
707	458	189
708	458	188
709	459	187
710	460	187
711	460	186
712	461	185
713	461	184
714	462	184
715	462	183
716	463	182
717	463	182
718	464	181
719	464	180
720	465	180
721	465	179
722	466	178
723	466	177
724	467	177
725	467	176
726	468	175
727	468	175
728	469	174
729	469	173
730	470	173
731	470	172
732	471	171
733	471	170
734	472	170
735	472	169
736	473	168
737	473	168
738	474	167
739	474	166
740	475	166
741	475	165
742	476	164
743	476	163
744	477	163
745	477	162
746	477	161
747	478	161
748	478	160
749	479	159
750	479	159
751	480	158
752	480	157
753	481	157
754	481	156
755	482	155
756	482	155
757	483	154
758	483	153
759	484	152
760	484	152
761	485	151
762	485	150
763	486	150
764	486	149
765	487	148
766	487	148
767	488	147
768	488	146
769	489	146
770	489	145
771	490	144
772	490	144
773	491	143
774	491	142
775	492	142
776	492	141
777	493	140
778	493	140
779	494	139
780	494	138
781	495	138
782	495	137
783	496	136
784	496	136
785	497	135
786	497	134
787	498	134
788	498	133
789	499	132
790	499	131
791	500	131
792	500	130
793	501	129
794	501	129
795	501	128
796	502	127
797	502	127
798	503	126
799	503	125
800	504	125
801	505	124
802	505	124
803	506	123
804	506	122
805	506	122
806	507	121
807	507	120
808	508	120
809	509	119
810	509	118
811	510	118
812	510	117
813	511	116
814	511	116
815	512	115
816	512	114
817	513	114
818	513	113
819	514	112
820	514	112
821	515	111
822	515	110
823	516	110
824	516	109
